"rank_group","sector","change"
"Rank F: Year-to-Date (YTD) Performance","Industrials",0.1574
"Rank F: Year-to-Date (YTD) Performance","Financials",0.1574
"Rank F: Year-to-Date (YTD) Performance","Energy",0.1574
"Rank G: 1 Year Performance","Information Technology",0.329
"Rank G: 1 Year Performance","Consumer Discretionary",0.329
"Rank G: 1 Year Performance","Communication Services",0.329
"Rank G: 1 Year Performance","Health Care",0.329
"Rank G: 1 Year Performance","Consumer Staples",0.329
"Rank G: 1 Year Performance","Materials",0.329
"Rank G: 1 Year Performance","Utilities",0.329
"Rank G: 1 Year Performance","Real Estate",0.329
"Rank G: 1 Year Performance","Industrials",0.329
"Rank G: 1 Year Performance","Financials",0.329
"Rank G: 1 Year Performance","Energy",0.329
"Rank H: 3 Year Performance","Information Technology",0.9968
"Rank H: 3 Year Performance","Consumer Discretionary",0.9968
"Rank H: 3 Year Performance","Health Care",0.9968
"Rank H: 3 Year Performance","Communication Services",0.9968
"Rank H: 3 Year Performance","Real Estate",0.9968
"Rank H: 3 Year Performance","Utilities",0.9968
"Rank H: 3 Year Performance","Consumer Staples",0.9968
"Rank H: 3 Year Performance","Materials",0.9968
"Rank H: 3 Year Performance","Industrials",0.9968
"Rank H: 3 Year Performance","Financials",0.9968
"Rank H: 3 Year Performance","Energy",0.9968
"Rank I: 5 Year Performance","Information Technology",1.6864
"Rank I: 5 Year Performance","Consumer Discretionary",1.6864
"Rank I: 5 Year Performance","Health Care",1.6864
"Rank I: 5 Year Performance","Utilities",1.6864
"Rank I: 5 Year Performance","Industrials",1.6864
"Rank I: 5 Year Performance","Consumer Staples",1.6864
"Rank I: 5 Year Performance","Materials",1.6864
"Rank I: 5 Year Performance","Communication Services",1.6864
"Rank I: 5 Year Performance","Financials",1.6864
"Rank I: 5 Year Performance","Energy",1.6864
"Rank J: 10 Year Performance","Information Technology",4.6389
"Rank J: 10 Year Performance","Consumer Discretionary",4.6389
"Rank J: 10 Year Performance","Health Care",4.6389
"Rank J: 10 Year Performance","Industrials",4.6389
"Rank J: 10 Year Performance","Consumer Staples",4.6389
"Rank J: 10 Year Performance","Materials",4.6389
"Rank J: 10 Year Performance","Financials",4.6389
"Rank J: 10 Year Performance","Utilities",4.6389
"Rank J: 10 Year Performance","Communication Services",4.6389
"Rank J: 10 Year Performance","Energy",4.6389
